Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,others,therocktrading
2017-11-14 15:00:00 UTC,6469.80523,6582.560362,6768.392099,6588.345818,6582.422649,6467.692965,6565.647892,6641.872287,6525.198847,
2017-11-14 16:00:00 UTC,6463.451861,6574.935981,6750.438764,6569.17917,6569.058859,6475.889148,6544.806336,6625.98363,6504.84925,
2017-11-14 17:00:00 UTC,6526.583398,6587.638601,6784.700017,6582.617776,6595.124096,6523.166891,6573.354252,6644.752281,6557.005509,6651.77
2017-11-14 18:00:00 UTC,6510.014555,6552.330196,6763.954092,6557.381697,6562.080859,6518.177825,6549.556825,6630.297143,6551.52913,6624.146154
2017-11-14 19:00:00 UTC,6545.768295,6567.478288,6792.892652,6565.290365,6568.230775,6542.741681,6563.725924,6628.73151,6542.605185,6648.698
2017-11-14 20:00:00 UTC,6602.916378,6627.55514,6815.514045,6622.833893,6626.012869,6598.128251,6619.977466,6676.106742,6568.516116,6670.803333
2017-11-14 21:00:00 UTC,6580.822631,6599.856516,6794.971677,6603.219297,6603.124868,6584.828058,6599.337282,6660.954501,6581.647154,
2017-11-14 22:00:00 UTC,6569.909582,6603.928813,6786.325358,6590.347112,6599.396288,6581.100939,6592.575759,6623.685662,6568.076981,6629.14
2017-11-14 23:00:00 UTC,6552.649139,6572.610812,6782.928548,6580.405561,6577.07956,6552.760797,6571.37464,6640.21113,6558.185811,
2017-11-15 00:00:00 UTC,6682.547217,6722.225212,6889.6082,6702.981173,6721.514562,6666.439991,6734.01402,6742.552974,6614.135831,6743.5
2017-11-15 01:00:00 UTC,6744.587181,6778.920137,6943.221748,6767.983191,6774.201125,6741.364414,6772.76063,6795.619054,6645.266158,6828.506667
2017-11-15 02:00:00 UTC,6834.966394,6868.874228,7046.278769,6864.292531,6855.352049,6831.488237,6860.137453,6879.69311,6791.887917,6874.64
2017-11-15 03:00:00 UTC,6821.96836,6857.783757,7045.056682,6859.830434,6861.67642,6821.483304,6870.473804,6895.73435,6819.534216,6901.48
2017-11-15 04:00:00 UTC,6792.161228,6835.698482,6991.603744,6853.894655,6841.254801,6799.775568,6838.450556,6888.714197,6762.615195,
2017-11-15 05:00:00 UTC,6817.748098,6854.074738,7024.747767,6865.010179,6858.254421,6814.478481,6869.300303,6875.895501,6790.825809,
2017-11-15 06:00:00 UTC,6810.294779,6865.348521,7038.897893,6869.21758,6862.552296,6811.439831,6877.090294,6887.017705,6777.489053,6894.802
2017-11-15 07:00:00 UTC,6873.269652,6928.523923,7130.318624,6930.844388,6926.338586,6871.867397,6929.419867,6957.611969,6881.239397,
2017-11-15 08:00:00 UTC,6872.010362,6933.020798,7139.384818,6950.537645,6944.43266,6877.430741,6944.325692,6935.554836,6888.675513,
2017-11-15 09:00:00 UTC,6892.890166,6962.632502,7150.249136,6964.654753,6971.146915,6893.635495,6966.588544,6957.8313,6899.890544,6970
